          year,    income
1970,3399
1971,3768
1972,4251
1973,4804
1974,5576
1975,5998
1976,7062
1977,7100
1978,7247
1979,7602
1980,8355
1981,9434
1982,9619
1983,10416
1984,10790
1985,11018
1986,11482
1987,12974
1988,15080
1989,16426
1990,16838
1991,17266
1992,16412
1993,15875
1994,15755
1995,16369
1996,16699
1997,117310
1998,16622
1999,17581
2000,18987
2001,18601
2002,19232
2003,22739
2004,25719
2005,29198
2006,32738
2007,36144
2008,37446
2009,32755
2010,38420
2011,42334
2012,42665
2013,42676
2014,41039
2015,35175
2016,34229
